,home_team,away_team,home_score,away_score,home_penalty,away_penalty,total_goals,Winner,Stage,Year,Date,Host,Venue,Attendance,h_red_card_count,a_red_card_count,h_yellow_red_card_count,a_yellow_red_card_count,h_yellow_card_long_count,a_yellow_card_long_count
146,Korea Republic,Belgium,0,1,,,1,Belgium,Fase de Grupos,2014,2014-06-26,Brazil,"Arena Corinthians, São Paulo",61397,0,1,0,0,1,1
147,Algeria,Russia,1,1,,,2,Draw,Fase de Grupos,2014,2014-06-26,Brazil,"Estádio Joaquim Américo Guimarães, Curitiba",39311,0,0,0,0,3,2
148,Bosnia and Herzegovina,IR Iran,3,1,,,4,Bosnia and Herzegovina,Fase de Grupos,2014,2014-06-25,Brazil,"Itaipava Arena Fonte Nova, Salvador",48011,0,0,0,0,1,1
149,Nigeria,Argentina,2,3,,,5,Argentina,Fase de Grupos,2014,2014-06-25,Brazil,"Estádio José Pinheiro Borba, Porto Alegre",43285,0,0,0,0,2,0
150,Honduras,Switzerland,0,3,,,3,Switzerland,Fase de Grupos,2014,2014-06-25,Brazil,"Arena da Amazônia, Manaus",40322,0,0,0,0,1,0
151,Ecuador,France,0,0,,,0,Draw,Fase de Grupos,2014,2014-06-25,Brazil,"Estadio Jornalista Mário Filho, Rio de Janeiro",73749,1,0,0,0,1,0
152,Costa Rica,England,0,0,,,0,Draw,Fase de Grupos,2014,2014-06-24,Brazil,"Estádio Governador Magalhães Pinto, Belo Horizonte",57823,0,0,0,0,1,2
153,Italy,Uruguay,0,1,,,1,Uruguay,Fase de Grupos,2014,2014-06-24,Brazil,"Arena das Dunas, Natal",39706,1,0,0,0,2,2
154,Japan,Colombia,1,4,,,5,Colombia,Fase de Grupos,2014,2014-06-24,Brazil,"Arena Pantanal, Cuiabá",40340,0,0,0,0,1,1
155,Greece,Côte d'Ivoire,2,1,,,3,Greece,Fase de Grupos,2014,2014-06-24,Brazil,"Estádio Castelão, Fortaleza",59095,0,0,0,0,0,3
156,Australia,Spain,0,3,,,3,Spain,Fase de Grupos,2014,2014-06-23,Brazil,"Estádio Joaquim Américo Guimarães, Curitiba",39375,0,0,0,0,2,1
157,Netherlands,Chile,2,0,,,2,Netherlands,Fase de Grupos,2014,2014-06-23,Brazil,"Arena Corinthians, São Paulo",62996,0,0,0,0,1,1
158,Croatia,Mexico,1,3,,,4,Mexico,Fase de Grupos,2014,2014-06-23,Brazil,"Itaipava Arena Pernambuco, Recife",41212,1,0,0,0,1,2
159,Cameroon,Brazil,1,4,,,5,Brazil,Fase de Grupos,2014,2014-06-23,Brazil,"Estádio Nacional de Brasília, Brasília",69112,0,0,0,0,3,0
